name,calories,protein,carbs,fat,fiber,category
tomate,18,0.9,3.9,0.2,1.2,Légume
poulet,239,27.3,0.0,13.6,0.0,Viande
riz,365,7.1,77.2,0.7,1.3,Céréale
carotte,41,0.9,9.6,0.2,2.8,Légume
oignon,40,1.1,9.3,0.1,1.7,Légume
pomme de terre,77,2.1,17.6,0.1,2.1,Légume
bœuf,250,26.1,0.0,15.4,0.0,Viande
saumon,208,25.4,0.0,10.4,0.0,Poisson
œuf,155,13.0,1.1,11.0,0.0,Produit laitier
lait,42,3.4,5.0,1.0,0.0,Produit laitier
fromage,402,25.0,1.3,33.1,0.0,Produit laitier
pain,265,9.0,49.4,3.2,2.7,Céréale
pâtes,371,13.0,74.7,1.5,3.2,Céréale
huile d'olive,884,0.0,0.0,100.0,0.0,Matière grasse
beurre,717,0.9,0.1,81.1,0.0,Matière grasse
banane,89,1.1,22.8,0.3,2.6,Fruit
pomme,52,0.3,13.8,0.2,2.4,Fruit
épinard,23,2.9,3.6,0.4,2.2,Légume
champignon,22,3.1,3.3,0.3,1.0,Légume
ail,149,6.4,33.1,0.5,2.1,Aromate
